track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Down The Park (IRE),P J O'Hanlon,0,D A McLoughlin,11th,3 3/4 l,6,10-8t,82,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Not Before Time (IRE),S D Torrens,0,A A Howard,10th,Neck,6,11-2b,90,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Hill Rocket (IRE),C P Millar,5,C Collins,9th,1 l,6,11-6p,94,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Lariat,B W Harvey,0,J C McConnell,8th,1/2 l,8,10-12p,86,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Barryroe Madam (FR),M J M O'Sullivan,0,B McMahon,7th,1/2 l,5,11-2h,90,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Ballagh Star (IRE),S Fitzgerald,0,Mrs Y Dunleavy,6th,1 1/4 l,6,10-13tp,87,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Le Malin (FR),Mr N McParlan,0,S McParlan,5th,1/2 l,10,11-7,95,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,He Fitz In (IRE),D E Mullins,0,D E Fitzgerald,4th,6 l,8,11-3b,91,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Hatfield Hammer (IRE),C Stone-Walsh,5,P Nolan,3rd,Neck,5,11-1p,89,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Aurea Fortuna (IRE),D King,0,A J Martin,2nd,4 3/4 l,5,11-9,97,True,154,38
N/A,N/A,15:20,Good To Yielding,2m 7f 182y,Shantou Princess (IRE),K M Donoghue,0,G P Cromwell,1st,N/A,5,11-6,94,True,154,38
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Soar Beyond (IRE),Adam Caffrey,3,D K Weld,7th,1 1/4 l,3,9-3b1,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Fox Island,L F Roche,0,G A Kingston,6th,9 l,4,9-3,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Happy Henry (IRE),N M Crosse,0,W McCreery,5th,1 3/4 l,3,9-8,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Magic Force (IRE),S Coen,7,M J Browne,4th,1/2 l,3,9-8,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Abiding Star (IRE),C D Hayes,0,John Hayes,3rd,4 l,3,9-3,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Crystal Luna (IRE),C T Keane,0,Daniel Murphy,2nd,1 l,3,9-3b,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Mint Man,R P Whelan,0,P J F Murphy,1st,N/A,3,9-8t,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Soar Beyond (IRE),Adam Caffrey,3,D K Weld,7th,1 1/4 l,3,9-3b1,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Fox Island,L F Roche,0,G A Kingston,6th,9 l,4,9-3,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Happy Henry (IRE),N M Crosse,0,W McCreery,5th,1 3/4 l,3,9-8,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Magic Force (IRE),S Coen,7,M J Browne,4th,1/2 l,3,9-8,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Abiding Star (IRE),C D Hayes,0,John Hayes,3rd,4 l,3,9-3,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Crystal Luna (IRE),C T Keane,0,Daniel Murphy,2nd,1 l,3,9-3b,-,True,154,39
Dundalk Racing Results | 11th December 2024 14:55,N/A,14:55,Standard,5f,Mint Man,R P Whelan,0,P J F Murphy,1st,N/A,3,9-8t,-,True,154,39
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Timourid (IRE),K G Kennedy,7,D Hogan,NR,N/A,7,8-10b,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Away He Goes (IRE),A J Casey,10,D Hogan,13th,19 l,8,8-12p,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Carrickfinn,W Joyce,5,Shane Gallagher,12th,2 l,5,9-0tp,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,There's No Limit (IRE),R Whearty,3,C Collins,11th,2 l,3,8-13b,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Infatuator (IRE),S Foley,0,R Donohoe,10th,4 1/2 l,3,8-11b1,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Tasmanian Girl (IRE),R Donaghue-Leahy,7,Aengus King,9th,1/2 l,4,8-12t,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Imadpour (IRE),L F Roche,0,A McNamara,8th,1 l,4,8-10p1,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,A Daughtersdelight (IRE),P McGettigan,7,P Magee,7th,1/2 l,3,8-7,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Darkened (IRE),C D Hayes,0,N C Kelly,6th,1/2 l,8,8-10tb,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,God Of Thunder (IRE),J M Sheridan,0,D Hogan,5th,Short Head,5,9-2p1,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Rockview Consort,C D Fahy,10,J C McConnell,4th,2 l,5,9-12,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Autocrat (IRE),Nicola Burns,7,R Donohoe,3rd,3 l,4,9-10b,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Rhythm And Tyne (IRE),D P McDonogh,0,C Byrnes,2nd,Head,4,8-12,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Chicago Storm,C T Keane,0,C Timmons,1st,N/A,5,9-2,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Timourid (IRE),K G Kennedy,7,D Hogan,NR,N/A,7,8-10b,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Away He Goes (IRE),A J Casey,10,D Hogan,13th,19 l,8,8-12p,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Carrickfinn,W Joyce,5,Shane Gallagher,12th,2 l,5,9-0tp,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,There's No Limit (IRE),R Whearty,3,C Collins,11th,2 l,3,8-13b,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Infatuator (IRE),S Foley,0,R Donohoe,10th,4 1/2 l,3,8-11b1,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Tasmanian Girl (IRE),R Donaghue-Leahy,7,Aengus King,9th,1/2 l,4,8-12t,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Imadpour (IRE),L F Roche,0,A McNamara,8th,1 l,4,8-10p1,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,A Daughtersdelight (IRE),P McGettigan,7,P Magee,7th,1/2 l,3,8-7,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Darkened (IRE),C D Hayes,0,N C Kelly,6th,1/2 l,8,8-10tb,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,God Of Thunder (IRE),J M Sheridan,0,D Hogan,5th,Short Head,5,9-2p1,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Rockview Consort,C D Fahy,10,J C McConnell,4th,2 l,5,9-12,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Autocrat (IRE),Nicola Burns,7,R Donohoe,3rd,3 l,4,9-10b,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Rhythm And Tyne (IRE),D P McDonogh,0,C Byrnes,2nd,Head,4,8-12,-,True,154,40
Dundalk Racing Results | 11th December 2024 15:25,N/A,15:25,Standard,1m 4f,Chicago Storm,C T Keane,0,C Timmons,1st,N/A,5,9-2,-,True,154,40
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,De La Cruz (IRE),Non Runner,3,C Timmons,NR,N/A,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Heaven's On Fire (IRE),J J G Ryan,3,T G McCourt,NR,N/A,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Pekan (IRE),R C Colgan,0,S Lavery,11th,1 1/4 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Go Flo Jo (IRE),W Joyce,5,P G Fahey,10th,2 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Love Sonnet (IRE),S Foley,0,J J Murphy,9th,Neck,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Bridezilla (IRE),J M Sheridan,0,A Slattery,8th,2 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Princess Of Saxony (IRE),G F Carroll,0,A Oliver,7th,3/4 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Beautiful Affair (IRE),D P McDonogh,0,J P O'Brien,6th,3/4 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Denim And Diamonds (IRE),M P Sheehy,0,J P O'Brien,5th,1/2 l,2,9-2t,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Electric Beauty (IRE),R P Whelan,0,K J Condon,4th,3 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Calrissiana,R P Cleary,0,N Meade,3rd,1/2 l,2,9-2p,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Heather (IRE),C T Keane,0,G M Lyons,2nd,Neck,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Sweet Illusions (USA),C D Hayes,0,J P O'Brien,1st,N/A,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,De La Cruz (IRE),Non Runner,3,C Timmons,NR,N/A,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Heaven's On Fire (IRE),J J G Ryan,3,T G McCourt,NR,N/A,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Pekan (IRE),R C Colgan,0,S Lavery,11th,1 1/4 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Go Flo Jo (IRE),W Joyce,5,P G Fahey,10th,2 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Love Sonnet (IRE),S Foley,0,J J Murphy,9th,Neck,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Bridezilla (IRE),J M Sheridan,0,A Slattery,8th,2 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Princess Of Saxony (IRE),G F Carroll,0,A Oliver,7th,3/4 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Beautiful Affair (IRE),D P McDonogh,0,J P O'Brien,6th,3/4 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Denim And Diamonds (IRE),M P Sheehy,0,J P O'Brien,5th,1/2 l,2,9-2t,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Electric Beauty (IRE),R P Whelan,0,K J Condon,4th,3 l,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Calrissiana,R P Cleary,0,N Meade,3rd,1/2 l,2,9-2p,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Heather (IRE),C T Keane,0,G M Lyons,2nd,Neck,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:00,N/A,16:00,Standard,1m,Sweet Illusions (USA),C D Hayes,0,J P O'Brien,1st,N/A,2,9-2,-,True,154,41
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Star Allure (IRE),Nicola Burns,7,C O'Connell,9th,Head,2,8-12,56,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Romantic War (IRE),R P Cleary,0,A McGuinness,8th,Neck,2,8-11,55,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Kensington Hope (IRE),L T McAteer,0,A McCann,7th,Neck,2,9-2,60,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Petit Fusee (IRE),R M Mulligan,7,P Martin,6th,4 l,2,8-7p1,51,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Bansha Belle (IRE),J J G Ryan,3,Stephen Thorne,5th,1 1/2 l,2,9-11b,69,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Vanilla Baby (IRE),D P McDonogh,0,J P O'Brien,4th,Nose,2,9-1,59,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Powerful Lady (FR),R P Whelan,0,N Lupini,3rd,1 1/2 l,2,9-12,70,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Movin And Groovin (IRE),N M Crosse,0,A McGuinness,2nd,1 1/2 l,2,8-7,51,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Brigadier Kakuru (IRE),C T Keane,0,Daniel Murphy,1st,N/A,2,9-10,68,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Star Allure (IRE),Nicola Burns,7,C O'Connell,9th,Head,2,8-12,56,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Romantic War (IRE),R P Cleary,0,A McGuinness,8th,Neck,2,8-11,55,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Kensington Hope (IRE),L T McAteer,0,A McCann,7th,Neck,2,9-2,60,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Petit Fusee (IRE),R M Mulligan,7,P Martin,6th,4 l,2,8-7p1,51,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Bansha Belle (IRE),J J G Ryan,3,Stephen Thorne,5th,1 1/2 l,2,9-11b,69,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Vanilla Baby (IRE),D P McDonogh,0,J P O'Brien,4th,Nose,2,9-1,59,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Powerful Lady (FR),R P Whelan,0,N Lupini,3rd,1 1/2 l,2,9-12,70,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Movin And Groovin (IRE),N M Crosse,0,A McGuinness,2nd,1 1/2 l,2,8-7,51,True,154,42
Dundalk Racing Results | 11th December 2024 16:30,N/A,16:30,Standard,6f,Brigadier Kakuru (IRE),C T Keane,0,Daniel Murphy,1st,N/A,2,9-10,68,True,154,42
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Blue Bangor (IRE),G P Halpin,0,John M Harney,NR,N/A,2,9-7,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Frankton (FR),C T Keane,0,K J Condon,7th,2 3/4 l,2,9-7t,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Alshmayme Sister (IRE),N G McCullagh,0,K J Condon,6th,1 3/4 l,2,9-2,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Kayamite (IRE),R C Colgan,0,C Timmons,5th,1/2 l,2,9-2t,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,March To The Band,R P Whelan,0,John O'Donoghue,4th,3 l,2,9-7p,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Wannabe Royal (IRE),M P Sheehy,0,J P O'Brien,3rd,1 1/2 l,2,9-2,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Nepal (IRE),S Foley,0,J J Murphy,2nd,1/2 l,2,9-7,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Spycraft (FR),D P McDonogh,0,J P O'Brien,1st,N/A,2,9-7,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Blue Bangor (IRE),G P Halpin,0,John M Harney,NR,N/A,2,9-7,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Frankton (FR),C T Keane,0,K J Condon,7th,2 3/4 l,2,9-7t,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Alshmayme Sister (IRE),N G McCullagh,0,K J Condon,6th,1 3/4 l,2,9-2,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Kayamite (IRE),R C Colgan,0,C Timmons,5th,1/2 l,2,9-2t,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,March To The Band,R P Whelan,0,John O'Donoghue,4th,3 l,2,9-7p,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Wannabe Royal (IRE),M P Sheehy,0,J P O'Brien,3rd,1 1/2 l,2,9-2,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Nepal (IRE),S Foley,0,J J Murphy,2nd,1/2 l,2,9-7,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:00,N/A,17:00,Standard,7f,Spycraft (FR),D P McDonogh,0,J P O'Brien,1st,N/A,2,9-7,-,True,154,43
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Jazzy Dancer (IRE),R Donaghue-Leahy,7,W J Martin,NR,N/A,6,10-0p,61,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Wonder Spirit,R Donaghue-Leahy,7,G A Kingston,14th,4 1/4 l,6,9-0,47,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Circles (IRE),R P Cleary,0,A McCann,13th,3 l,5,9-13tb,60,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,The Bog Bank (IRE),Sadhbh Tormey,10,T G McCourt,12th,1 l,7,9-10tv,57,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Villemacho (IRE),P McGettigan,7,J Feane,11th,1 l,4,9-13,60,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Task Ahead (IRE),D W O'Connor,0,J C McConnell,10th,Short Head,3,9-10,57,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Eastern Capital (IRE),R C Colgan,0,P Martin,9th,3/4 l,3,9-6,53,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Draiocht (IRE),M P Sheehy,0,T J O'Mara,8th,Head,4,9-0,47,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Maestro Stick,N G McCullagh,0,K H Clarke,7th,3/4 l,7,9-0t,47,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Chestnutter (IRE),J A Powell,3,J C McConnell,6th,1/2 l,5,9-0v,44,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Half Nutz (IRE),J Kearney,5,A McGuinness,5th,1 3/4 l,7,10-2,63,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Golden Days (IRE),J Cleary,7,M Halford & T Collins,4th,1 1/4 l,7,9-12v1,59,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Ferrari Desert,S Coen,7,M Fahey,3rd,1 l,4,9-11t,58,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Harry The Rogue (IRE),N M Crosse,0,A Slattery,2nd,1/2 l,3,9-4,51,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Hastily,Nicola Burns,7,Tom McGuinness,1st,N/A,5,9-0p1,47,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Jazzy Dancer (IRE),R Donaghue-Leahy,7,W J Martin,NR,N/A,6,10-0p,61,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Wonder Spirit,R Donaghue-Leahy,7,G A Kingston,14th,4 1/4 l,6,9-0,47,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Circles (IRE),R P Cleary,0,A McCann,13th,3 l,5,9-13tb,60,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,The Bog Bank (IRE),Sadhbh Tormey,10,T G McCourt,12th,1 l,7,9-10tv,57,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Villemacho (IRE),P McGettigan,7,J Feane,11th,1 l,4,9-13,60,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Task Ahead (IRE),D W O'Connor,0,J C McConnell,10th,Short Head,3,9-10,57,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Eastern Capital (IRE),R C Colgan,0,P Martin,9th,3/4 l,3,9-6,53,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Draiocht (IRE),M P Sheehy,0,T J O'Mara,8th,Head,4,9-0,47,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Maestro Stick,N G McCullagh,0,K H Clarke,7th,3/4 l,7,9-0t,47,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Chestnutter (IRE),J A Powell,3,J C McConnell,6th,1/2 l,5,9-0v,44,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Half Nutz (IRE),J Kearney,5,A McGuinness,5th,1 3/4 l,7,10-2,63,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Golden Days (IRE),J Cleary,7,M Halford & T Collins,4th,1 1/4 l,7,9-12v1,59,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Ferrari Desert,S Coen,7,M Fahey,3rd,1 l,4,9-11t,58,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Harry The Rogue (IRE),N M Crosse,0,A Slattery,2nd,1/2 l,3,9-4,51,True,154,44
Dundalk Racing Results | 11th December 2024 17:30,N/A,17:30,Standard,7f,Hastily,Nicola Burns,7,Tom McGuinness,1st,N/A,5,9-0p1,47,True,154,44
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Tassarolo,J M Sheridan,0,D Hogan,NR,N/A,3,10-0t,64,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Buckhead Betty (IRE),S Foley,0,R O'Sullivan,12th,Short Head,3,9-8p,58,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Snag It (IRE),C D Hayes,0,P J F Murphy,11th,Nose,7,9-9t,57,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Relevant Range (IRE),D King,3,G Scott,10th,1 1/4 l,5,10-0p,62,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Jalo (IRE),J J G Ryan,3,T G McCourt,9th,1 1/2 l,4,8-13tv,47,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Highland King (IRE),R M Mulligan,7,J C McConnell,8th,Neck,5,10-0p,62,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Muhalhel (IRE),N M Crosse,0,A McCann,7th,1/2 l,6,9-0tb,48,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Waystar (IRE),J A Powell,3,J C McConnell,6th,Neck,3,9-1,51,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Hijo De La Luna (GER),L T McAteer,0,S McConville,5th,1 l,4,9-3p,51,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Guest Star,C T Keane,0,M Fahey,4th,3/4 l,3,9-2b,52,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Ranko Express (IRE),S Coen,7,A Slattery,3rd,Neck,4,9-5,53,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Limestone Red (IRE),R P Whelan,0,M Halford & T Collins,2nd,Short Head,4,10-2p,64,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Belles Feuilles (FR),G F Carroll,0,G P Cromwell,1st,N/A,4,9-5,53,True,154,45
Dundalk Racing Results | 11th December 2024 18:00,N/A,18:00,Standard,1m 2f 150y,Tassarolo,J M Sheridan,0,D Hogan,NR,N/A,3,10-0t,64,True,154,45
