track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Diadora (IRE),William James Lee,0,P. Twomey,4th,3 1/4 l,4,9-9v,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Surrounding (IRE),R. P. Whelan,0,M. Halford,3rd,1 1/4 l,9,9-9t,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Nectaris (JPN),Shane Foley,0,Mrs J. Harrington,2nd,Nose,3,9-1,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Marbling,G. F. Carroll,0,G. M. Lyons,1st,N/A,5,9-9,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:50,N/A,16:50,Good,1m 4f,Rihani (IRE),M. P. Sheehy,3,M. Halford,4th,1/2 l,3,8-10p1,62,True,8,7
Fairyhouse Racing Results | 10th July 2022 16:50,N/A,16:50,Good,1m 4f,Prophets Voice (IRE),G. F. Carroll,0,Joseph G. Murphy,3rd,2 1/4 l,3,9-9,75,True,8,7
Fairyhouse Racing Results | 10th July 2022 16:50,N/A,16:50,Good,1m 4f,Explorers Way (IRE),J. Coen,7,Joseph Patrick O'Brien,2nd,9 1/2 l,3,10-0,80,True,8,7
Fairyhouse Racing Results | 10th July 2022 16:50,N/A,16:50,Good,1m 4f,Nectarine (IRE),K. J. Manning,0,J. S. Bolger,1st,N/A,3,9-10,76,True,8,7
Fairyhouse Racing Results | 10th July 2022 16:50,N/A,16:50,Good,1m 4f,Rihani (IRE),M. P. Sheehy,3,M. Halford,4th,1/2 l,3,8-10p1,62,True,8,7
Fairyhouse Racing Results | 10th July 2022 16:50,N/A,16:50,Good,1m 4f,Prophets Voice (IRE),G. F. Carroll,0,Joseph G. Murphy,3rd,2 1/4 l,3,9-9,75,True,8,7
Fairyhouse Racing Results | 10th July 2022 16:50,N/A,16:50,Good,1m 4f,Explorers Way (IRE),J. Coen,7,Joseph Patrick O'Brien,2nd,9 1/2 l,3,10-0,80,True,8,7
Fairyhouse Racing Results | 10th July 2022 16:50,N/A,16:50,Good,1m 4f,Nectarine (IRE),K. J. Manning,0,J. S. Bolger,1st,N/A,3,9-10,76,True,8,7
