track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Jon Riggens (IRE),C. T. Keane,0,Edward Lynam,4th,3/4 l,5,9-0t,86,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Hurricane Ivor (IRE),Shane Foley,0,Mrs J. Harrington,3rd,Neck,6,10-1,101,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Laugh A Minute,Adam Caffrey,7,Adrian McGuinness,2nd,Head,8,9-6,92,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Tawaazon (IRE),J. A. Powell,5,James McAuley,1st,N/A,5,9-4tb,90,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Gustavus Weston (IRE),G. F. Carroll,0,Joseph G. Murphy,15th,1/2 l,7,9-10,96,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Mickey The Steel,D. B. McMonagle,0,Joseph Anthony Murray,14th,Neck,5,9-6tp,92,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Heavenly Power (IRE),C. D. Hayes,0,Edward Lynam,13th,Head,5,8-9,81,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Dandyville (IRE),W. M. Lordan,0,Miss Natalia Lupini,12th,2 3/4 l,5,9-4,90,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Dream Today (IRE),C. J. MacRedmond,5,Adrian McGuinness,11th,1 1/4 l,8,9-2tp,88,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Greek Flower (IRE),C. Horgan,7,J. J. Feane,10th,Short Head,4,8-7,79,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Swift Flight (FR),R. P. Whelan,0,K. J. Condon,9th,3/4 l,5,8-9t,81,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Stag Night (IRE),N. M. Crosse,0,W. McCreery,8th,1/2 l,5,9-2,88,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Carrytheone,S. B. Kelly,0,John Patrick Murtagh,7th,Head,6,10-2tp1,102,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Secret Magician (IRE),R. P. Cleary,0,Martin Hassett,6th,3/4 l,4,8-7,79,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Anthem National (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,5th,1 1/4 l,4,9-11,97,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Jon Riggens (IRE),C. T. Keane,0,Edward Lynam,4th,3/4 l,5,9-0t,86,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Hurricane Ivor (IRE),Shane Foley,0,Mrs J. Harrington,3rd,Neck,6,10-1,101,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Laugh A Minute,Adam Caffrey,7,Adrian McGuinness,2nd,Head,8,9-6,92,True,56,26
Curragh Racing Results | 26th May 2023 20:00,N/A,20:00,Good (Good To Firm In Places),6f,Tawaazon (IRE),J. A. Powell,5,James McAuley,1st,N/A,5,9-4tb,90,True,56,26
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Extensio (IRE),Sylvia O'Donnell,10,P. F. O'Donnell,20th,Head,6,9-8,71,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,My Minervina (IRE),R. P. Whelan,0,Peter Fahey,19th,Short Head,5,10-0b,77,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Dare to Flare (IRE),Amy Jo Hayes,7,A. Slattery,18th,3/4 l,7,10-0,77,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Giselles Ausie (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,17th,Head,4,10-0,77,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Giuseppe Cassioli,D. N. Curran,7,Darren Bunyan,16th,Neck,6,10-1,78,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Old Peculier,G. M. Ryan,0,Mark Fahey,15th,Short Head,4,9-6,69,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Relevant Range (IRE),N. M. Crosse,0,Gillian Scott,14th,Neck,4,9-13p,76,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Gradulations,W. M. Lordan,0,Andrew Oliver,13th,1/2 l,4,9-13,76,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,A Shin Undine (IRE),M. A. Enright,0,Mrs Denise Foster,12th,Head,4,9-11p,74,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Benavente,J. Kearney,7,Richard John O'Brien,11th,3/4 l,5,10-2,79,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Monzoon,L. F. Roche,0,Ross O'Sullivan,10th,Neck,6,9-9,72,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Secret Spy,D. B. McMonagle,0,Andrew Oliver,9th,Head,4,9-8t,71,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Darkdeserthighway (IRE),Siobhan Rutledge,5,M. D. O'Callaghan,8th,Head,5,9-4b,67,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Facethepuckout (IRE),C. T. Keane,0,M. D. O'Callaghan,7th,3/4 l,7,10-1,78,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Akmaam (FR),E. A. Murphy,10,J. F. Levins,6th,1/2 l,5,9-8,71,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Eloquent Arthur,J. M. Sheridan,3,Denis Hogan,5th,1/2 l,5,9-11t,74,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Helpmeout (IRE),William James Lee,0,W. McCreery,4th,3/4 l,4,9-13,76,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Jaafel (IRE),C. J. MacRedmond,5,Adrian McGuinness,3rd,Neck,5,9-12t,75,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Coeur d'Or (IRE),C. D. Hayes,0,D. K. Weld,2nd,1/2 l,7,10-1t,78,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Sirjack Thomas (IRE),Adam Caffrey,7,Adrian McGuinness,1st,N/A,8,9-12,75,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Extensio (IRE),Sylvia O'Donnell,10,P. F. O'Donnell,20th,Head,6,9-8,71,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,My Minervina (IRE),R. P. Whelan,0,Peter Fahey,19th,Short Head,5,10-0b,77,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Dare to Flare (IRE),Amy Jo Hayes,7,A. Slattery,18th,3/4 l,7,10-0,77,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Giselles Ausie (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,17th,Head,4,10-0,77,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Giuseppe Cassioli,D. N. Curran,7,Darren Bunyan,16th,Neck,6,10-1,78,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Old Peculier,G. M. Ryan,0,Mark Fahey,15th,Short Head,4,9-6,69,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Relevant Range (IRE),N. M. Crosse,0,Gillian Scott,14th,Neck,4,9-13p,76,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Gradulations,W. M. Lordan,0,Andrew Oliver,13th,1/2 l,4,9-13,76,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,A Shin Undine (IRE),M. A. Enright,0,Mrs Denise Foster,12th,Head,4,9-11p,74,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Benavente,J. Kearney,7,Richard John O'Brien,11th,3/4 l,5,10-2,79,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Monzoon,L. F. Roche,0,Ross O'Sullivan,10th,Neck,6,9-9,72,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Secret Spy,D. B. McMonagle,0,Andrew Oliver,9th,Head,4,9-8t,71,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Darkdeserthighway (IRE),Siobhan Rutledge,5,M. D. O'Callaghan,8th,Head,5,9-4b,67,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Facethepuckout (IRE),C. T. Keane,0,M. D. O'Callaghan,7th,3/4 l,7,10-1,78,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Akmaam (FR),E. A. Murphy,10,J. F. Levins,6th,1/2 l,5,9-8,71,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Eloquent Arthur,J. M. Sheridan,3,Denis Hogan,5th,1/2 l,5,9-11t,74,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Helpmeout (IRE),William James Lee,0,W. McCreery,4th,3/4 l,4,9-13,76,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Jaafel (IRE),C. J. MacRedmond,5,Adrian McGuinness,3rd,Neck,5,9-12t,75,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Coeur d'Or (IRE),C. D. Hayes,0,D. K. Weld,2nd,1/2 l,7,10-1t,78,True,56,27
Curragh Racing Results | 26th May 2023 20:30,N/A,20:30,Good (Good To Firm In Places),1m,Sirjack Thomas (IRE),Adam Caffrey,7,Adrian McGuinness,1st,N/A,8,9-12,75,True,56,27
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Ivy Hall (IRE),Philip Donovan,5,John Patrick Ryan,S,N/A,5,10-11,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Champagne Mahler (IRE),Rachael Blackmore,0,Henry de Bromhead,PU,N/A,5,11-8,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Pots and Pans (IRE),J. S. McGarvey,0,John Joseph Hanlon,F,N/A,4,10-12,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Taking Control (IRE),D. King,5,Gillian Scott,15th,36 l,5,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Truckers Call (IRE),D. J. O'Keeffe,0,W. J. Burke,14th,15 l,6,11-4h1,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Champagne Saloon (IRE),M. P. O'Connor,5,Sean Aherne,13th,3 3/4 l,7,11-6ht1,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,One Cool Citizen (IRE),Jack G. Gilligan,7,Eugene M. O'Sullivan,12th,11 l,5,11-8,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Tareefa Boy (IRE),Sarah Kavanagh,7,Gordon Michael Doyle,11th,17 l,7,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Super Glory (IRE),Shane Fenelon,7,John Joseph Hanlon,10th,16 l,6,10-11,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Mont Beuvray (IRE),D. E. Mullins,0,John Patrick Ryan,9th,4 1/2 l,5,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Emily In Paris (IRE),T. Joseph Kelly,7,D. E. Fitzgerald,8th,4 1/4 l,5,10-11,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Second Intention (IRE),Phillip Enright,0,E. J. O'Grady,7th,3 3/4 l,6,11-8,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Ideal De Ciergues (FR),D. J. Gilligan,7,Gordon Elliott,6th,3 l,5,11-12,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Manisanda,K. E. Buckley,3,Mrs Lorna Fowler,5th,3 l,7,11-5t1,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Master Splinter (IRE),Mr B. Dunleavy,7,Mary E Doyle,4th,1 1/4 l,6,11-8,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Angelsworknovrtime (IRE),Donagh Meyler,0,James Andrew Fahey,3rd,3 3/4 l,7,10-11h,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Littlefoot (IRE),L. A. McKenna,5,Mark Molloy,2nd,3/4 l,5,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,My Gaffer (IRE),Liam Quinlan,5,John Patrick Ryan,1st,N/A,5,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Ivy Hall (IRE),Philip Donovan,5,John Patrick Ryan,S,N/A,5,10-11,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Champagne Mahler (IRE),Rachael Blackmore,0,Henry de Bromhead,PU,N/A,5,11-8,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Pots and Pans (IRE),J. S. McGarvey,0,John Joseph Hanlon,F,N/A,4,10-12,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Taking Control (IRE),D. King,5,Gillian Scott,15th,36 l,5,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Truckers Call (IRE),D. J. O'Keeffe,0,W. J. Burke,14th,15 l,6,11-4h1,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Champagne Saloon (IRE),M. P. O'Connor,5,Sean Aherne,13th,3 3/4 l,7,11-6ht1,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,One Cool Citizen (IRE),Jack G. Gilligan,7,Eugene M. O'Sullivan,12th,11 l,5,11-8,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Tareefa Boy (IRE),Sarah Kavanagh,7,Gordon Michael Doyle,11th,17 l,7,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Super Glory (IRE),Shane Fenelon,7,John Joseph Hanlon,10th,16 l,6,10-11,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Mont Beuvray (IRE),D. E. Mullins,0,John Patrick Ryan,9th,4 1/2 l,5,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Emily In Paris (IRE),T. Joseph Kelly,7,D. E. Fitzgerald,8th,4 1/4 l,5,10-11,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Second Intention (IRE),Phillip Enright,0,E. J. O'Grady,7th,3 3/4 l,6,11-8,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Ideal De Ciergues (FR),D. J. Gilligan,7,Gordon Elliott,6th,3 l,5,11-12,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Manisanda,K. E. Buckley,3,Mrs Lorna Fowler,5th,3 l,7,11-5t1,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Master Splinter (IRE),Mr B. Dunleavy,7,Mary E Doyle,4th,1 1/4 l,6,11-8,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Angelsworknovrtime (IRE),Donagh Meyler,0,James Andrew Fahey,3rd,3 3/4 l,7,10-11h,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,Littlefoot (IRE),L. A. McKenna,5,Mark Molloy,2nd,3/4 l,5,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:10,N/A,17:10,Good To Yielding,2m 100y,My Gaffer (IRE),Liam Quinlan,5,John Patrick Ryan,1st,N/A,5,11-4,-,True,56,28
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Smallcashprize (IRE),K. E. Buckley,3,Mrs Prunella Dobbs,UR,N/A,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Cryptos Dream (IRE),Sean Flanagan,0,E. Sheehy,PU,N/A,4,11-1,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Manhattan Lady (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,16th,12 l,5,11-7ht1,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Wee Valerie (IRE),B. W. Harvey,5,Hugh P. Finegan,15th,6 l,6,11-7t,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Brianna Lily (IRE),Denis O'Regan,0,Patrick T. Foley,14th,2 3/4 l,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Ar Aghaidh (IRE),E. Walsh,5,Hugh P. Finegan,13th,7 l,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Laws of Glory (IRE),D. King,5,Gillian Scott,12th,1 l,6,11-7t,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Mikita (USA),Reserve,7,Matthew J. Smith,11th,20 l,5,11-7t,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Goodie Girl (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,10th,7 l,5,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Glendars Mahler (IRE),Donagh Meyler,0,James Andrew Fahey,9th,1 3/4 l,7,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Miss Madeline (IRE),Liam Quinlan,5,A. Slattery,8th,8 l,5,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Glory Liss (IRE),Phillip Enright,0,Terence O'Brien,7th,4 1/2 l,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Stormalong (IRE),D. J. O'Keeffe,0,David Kenneth Budds,6th,5 l,5,11-7t,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Weseekherthere (IRE),D. J. Gilligan,7,Gordon Elliott,5th,1 l,4,11-1,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Lucky Viv (IRE),A. M. McCurtin,0,Michael Barry,4th,1/2 l,5,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Cullagh Pride (IRE),S. D. Torrens,0,Seamus Fahey,3rd,2 l,5,11-7h1,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Cash The Cheque (IRE),Conor Orr,0,Anthony McCann,2nd,6 l,5,11-7h,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Space Tourist (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Smallcashprize (IRE),K. E. Buckley,3,Mrs Prunella Dobbs,UR,N/A,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Cryptos Dream (IRE),Sean Flanagan,0,E. Sheehy,PU,N/A,4,11-1,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Manhattan Lady (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,16th,12 l,5,11-7ht1,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Wee Valerie (IRE),B. W. Harvey,5,Hugh P. Finegan,15th,6 l,6,11-7t,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Brianna Lily (IRE),Denis O'Regan,0,Patrick T. Foley,14th,2 3/4 l,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Ar Aghaidh (IRE),E. Walsh,5,Hugh P. Finegan,13th,7 l,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Laws of Glory (IRE),D. King,5,Gillian Scott,12th,1 l,6,11-7t,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Mikita (USA),Reserve,7,Matthew J. Smith,11th,20 l,5,11-7t,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Goodie Girl (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,10th,7 l,5,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Glendars Mahler (IRE),Donagh Meyler,0,James Andrew Fahey,9th,1 3/4 l,7,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Miss Madeline (IRE),Liam Quinlan,5,A. Slattery,8th,8 l,5,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Glory Liss (IRE),Phillip Enright,0,Terence O'Brien,7th,4 1/2 l,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Stormalong (IRE),D. J. O'Keeffe,0,David Kenneth Budds,6th,5 l,5,11-7t,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Weseekherthere (IRE),D. J. Gilligan,7,Gordon Elliott,5th,1 l,4,11-1,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Lucky Viv (IRE),A. M. McCurtin,0,Michael Barry,4th,1/2 l,5,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Cullagh Pride (IRE),S. D. Torrens,0,Seamus Fahey,3rd,2 l,5,11-7h1,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Cash The Cheque (IRE),Conor Orr,0,Anthony McCann,2nd,6 l,5,11-7h,-,True,56,29
Limerick Racing Results | 26th May 2023 17:45,N/A,17:45,Good To Yielding,2m 3f,Space Tourist (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,6,11-7,-,True,56,29
Limerick Racing Results | 26th May 2023 18:15,N/A,18:15,Good To Yielding,2m 3f,Sixty Seconds (IRE),C. P. McNamara,0,Eric McNamara,PU,N/A,6,11-9,90,True,56,30
Limerick Racing Results | 26th May 2023 18:15,N/A,18:15,Good To Yielding,2m 3f,Plusthevat (IRE),D. E. Mullins,0,P. A. Fahy,15th,6 l,7,11-8h1,89,True,56,30
Limerick Racing Results | 26th May 2023 18:15,N/A,18:15,Good To Yielding,2m 3f,Mr Macphisto (IRE),Keith Donoghue,0,Eoin Griffin,14th,9 1/2 l,7,11-5t1,86,True,56,30
Limerick Racing Results | 26th May 2023 18:15,N/A,18:15,Good To Yielding,2m 3f,Miala Araya (IRE),Niall Moore,7,Mark Cahill,13th,6 l,8,10-13,80,True,56,30
Limerick Racing Results | 26th May 2023 18:15,N/A,18:15,Good To Yielding,2m 3f,Tullig Wood (IRE),Phillip Enright,0,Thomas Cooper,12th,Short Head,6,11-4,85,True,56,30
Limerick Racing Results | 26th May 2023 18:15,N/A,18:15,Good To Yielding,2m 3f,Social Distancing (BAR),J. P. O'Sullivan,5,Neill McCluskey,11th,3 3/4 l,6,11-2,83,True,56,30
Limerick Racing Results | 26th May 2023 18:15,N/A,18:15,Good To Yielding,2m 3f,Darkest Dawn (IRE),B. P. Kennedy,7,J. F. O'Shea,10th,4 3/4 l,5,10-13b,80,True,56,30
Limerick Racing Results | 26th May 2023 18:15,N/A,18:15,Good To Yielding,2m 3f,Flyin Hawaiian,S. F. O'Keeffe,0,Paul Nolan,9th,1 3/4 l,5,11-9,90,True,56,30
