track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims
Naas,9 Jan 2026,2m4f,Yielding To Soft,Magic McColgan,125,Danny Mullins,W P Mullins,11- 7,7,0
Naas,9 Jan 2026,2m4f,Yielding To Soft,Neon Diamond,-,Sam Ewing,Gordon Elliott,11- 7,7,0
Naas,9 Jan 2026,2m4f,Yielding To Soft,Sainte Tartare,130,Brian Hayes,W P Mullins,11- 7,8,0
Naas,9 Jan 2026,2m4f,Yielding To Soft,The Great Nudie,132,Sean Flanagan,Colin Bowe,11- 7,6,0
Naas,9 Jan 2026,2m,Yielding To Soft,Win Some Lose Some,135,Aidan Kelly,Padraig Roche,12- 0,7,3
Naas,9 Jan 2026,2m,Yielding To Soft,Golden Joy,135,Jack Kennedy,Gordon Elliott,11 -13,7,0
Naas,9 Jan 2026,2m,Yielding To Soft,McLaurey,136,Mark Walsh,Emmet Mullins,11 -13,7,0
Naas,9 Jan 2026,2m,Yielding To Soft,Battle Of Ridgeway,135,Liam McKenna,Martin Hassett,11- 9,8,5
Naas,9 Jan 2026,2m,Yielding To Soft,Je T'Ai Porte,136,Keith Donoghue,Gavin Cromwell,11- 5,8,0
Naas,9 Jan 2026,2m,Yielding To Soft,Champagne Mahler,134,Darragh O'Keeffe,Henry De Bromhead,11- 4,8,0
Naas,9 Jan 2026,2m,Yielding To Soft,Moudan,137,E Walsh,Ciaran Murphy,11- 4,7,0
Naas,9 Jan 2026,2m,Yielding To Soft,Park That,132,Simon Torrens,E Bolger,10 -10,6,0
Naas,9 Jan 2026,2m,Yielding To Soft,Rockbrook,133,Shane O'Callaghan,P J Rothwell,10- 8,9,5
Naas,9 Jan 2026,2m,Yielding To Soft,Ferdia,130,Brian Barry,John Patrick Ryan,10- 3,10,7
Naas,9 Jan 2026,2m,Yielding To Soft,Mount Frisco,135,Daniel King,John Patrick Ryan,10- 3,7,0
Exeter,9 Jan 2026,2m7f,Good To Soft,Diamatiste,112,Rian Corcoran,Kayley Woollacott,12- 2,7,3
Exeter,9 Jan 2026,2m7f,Good To Soft,Crossgales King,105,Harry Atkins,Syd Hosie,11 -12,6,0
Exeter,9 Jan 2026,2m7f,Good To Soft,Call Me Legend,109,Murray Dodd,Philip Hobbs & Johnson White,11 -12,6,0
Exeter,9 Jan 2026,2m7f,Good To Soft,Gillespie,110,Freddie Keighley,Paul Nicholls,11 -12,6,3
Exeter,9 Jan 2026,2m7f,Good To Soft,Tzarmix,111,Toby McCain-Mitchell,Alastair Ralph,11 -11,8,0
Exeter,9 Jan 2026,2m7f,Good To Soft,Looking For Larry,106,Oscar Palmer,Tim Dennis,11- 8,8,3
Exeter,9 Jan 2026,2m7f,Good To Soft,Pipers Cross,110,Cameron Johnstone-Baker,Emma Lavelle,11- 5,9,8
Exeter,9 Jan 2026,2m7f,Good To Soft,Bampton Star,104,Chad Bament,Jeremy Scott,10 -11,9,0
Exeter,9 Jan 2026,2m7f,Good To Soft,Braganza Bay,111,Will Featherstone,Henry Daly,10 -11,9,0
Exeter,9 Jan 2026,2m½f,Good To Soft,A King Of Magic,-,Liam Harrison,Paul Nicholls,11- 8,5,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Alidam,101,Conor Rabbitt,Sophie Leech,11- 8,5,3
Exeter,9 Jan 2026,2m½f,Good To Soft,Best Trump,-,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 8,5,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Devilsrollthedice,81,Rian Corcoran,Gordon Treacy,11- 8,6,7
Exeter,9 Jan 2026,2m½f,Good To Soft,Devon Paige,-,Ben Godfrey,Jimmy Frost,11- 8,6,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Eton Mes,97,Jack Tudor,David Pipe,11- 8,5,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Johnny's Jury,122,Gavin Sheehan,Jamie Snowden,11- 8,6,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Like A Dancer,-,Conor Ring,Evan Williams,11- 8,5,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Limerick Star,-,Callum Pritchard,Philip Hobbs & Johnson White,11- 8,6,3
Exeter,9 Jan 2026,2m½f,Good To Soft,Lirone Du Seuil,97,Harry Skelton,Dan Skelton,11- 8,5,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Lord Virginia,-,Beau Morgan,Martin Keighley,11- 8,5,5
Exeter,9 Jan 2026,2m½f,Good To Soft,Sailing By,-,Brendan Powell,Joe Tizzard,11- 8,5,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Lady Dapple Rose,103,James Best,Harriet Dickin,11- 1,5,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Miss Tiara,102,Lorcan Williams,Jeremy Scott,11- 1,6,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Moonlight Stride,-,Sean Houlihan,Philip Hobbs & Johnson White,11- 1,6,0
Exeter,9 Jan 2026,2m½f,Good To Soft,Pourquoi Pas Papa,125,Harry Cobden,Paul Nicholls,10- 9,4,0
